Waller — 1 Match — All Athletes — Whole Match — Totals
#,Athlete,MP,0,SO %,S W %,S Rtg,S %,H %,0,SR Rtg,Blk,Digs,Err,0,S W %,S Pts W,S Pts L,0,S %,Ace,S Err,S Att,S Rtg,0,SR Att,SR Err,SR Rtg,0,Kill,H Err,H Att,H %,0,B Solo,B Assist,0,Assist,A Err,A Att,0,Digs,0,Violations,BHE,S Err,H Err,0,Sent,Receive
-,Unknown Athlete,1,0,-,-,-,-,- 1.000,0,-,0,0,1,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,1,1,- 1.000,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
12,Eboni Williams,1,0,-,-,-,-,+ .100,0,-,1,1,1,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,2,1,10,+ .100,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
7,Kenzie McNeill,1,0,-,60.0%,1.8,80.0%,- .500,0,2.14,0,9,1,0,60.0%,6,4,0,80.0%,3,2,10,1.8,0,7,0,2.14,0,0,1,2,- .500,0,0,0,0,0,0,4,0,9,0,0,0,2,1,0,0,0
1,Alyse Beckmeyer,1,0,-,57.1%,2.25,87.5%,0,0,2.5,0.5,7,0,0,57.1%,4,3,0,87.5%,0,1,8,2.25,0,2,0,2.5,0,0,0,5,0,0,0,0.5,0,9,0,33,0,7,0,0,1,1,0,0,7,0
2,Monica Wood,1,0,-,-,-,-,+ .176,0,1.25,2.5,0,3,0,-,0,0,0,-,0,0,0,-,0,4,1,1.25,0,6,3,17,+ .176,0,1,1.5,0,0,0,1,0,0,0,0,0,0,3,0,0,0
11,Emma Tompkins,1,0,-,33.3%,2.67,100.0%,+ .231,0,1.25,0.5,2,1,0,33.3%,1,2,0,100.0%,0,0,3,2.67,0,4,1,1.25,0,4,1,13,+ .231,0,0,0.5,0,1,0,2,0,2,0,0,0,0,1,0,2,0
23,Gracie Cates,1,0,-,0.0%,2,100.0%,0,0,2,0,9,0,0,0.0%,0,4,0,100.0%,0,0,4,2,0,10,0,2,0,0,0,1,0,0,0,0,0,2,0,9,0,9,0,0,0,0,0,0,0,0
10,Carson Fitzmorris,1,0,-,-,-,-,0,0,2,0.5,2,1,0,-,0,0,0,-,0,0,0,-,0,2,0,2,0,1,1,9,0,0,0,0.5,0,0,0,0,0,2,0,0,1,0,1,0,2,0
3,Kallie Mier,1,0,-,33.3%,2.33,100.0%,0,0,1.8,0,2,0,0,33.3%,2,4,0,100.0%,0,0,6,2.33,0,15,1,1.8,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
5,Samantha Lopez,1,0,-,33.3%,2,100.0%,+ .063,0,1.67,1,3,4,0,33.3%,2,4,0,100.0%,0,0,6,2,0,3,0,1.67,0,5,4,16,+ .063,0,1,0,0,4,0,22,0,3,0,0,0,0,4,0,2,0
