Jersey|MatchGamesPlayed|TotalServes|ServingAces|ServingErrors|ServingPoints|AttacksAttempts|AttacksKills|AttacksErrors|ServingReceivedSuccess|ServingReceivedErrors|BlocksSolo|BlocksAssists|BlocksErrors|BallHandlingAttempt|Assists|AssistsErrors|Digs|DigsErrors
5|1|6|0|0|2|16|5|4|3|0|1|0|0|0|4|0|3|0
3|1|6|0|0|2|2|0|0|15|1|0|0|0|0|0|0|2|0
10|1|0|0|0|0|9|1|1|2|0|0|0.5|0|0|0|0|2|0
23|1|4|0|0|0|1|0|0|10|0|0|0|0|0|2|0|9|0
11|1|3|0|0|1|13|4|1|4|1|0|0.5|0|0|1|0|2|0
2|1|0|0|0|0|17|6|3|4|1|1|1.5|0|0|0|0|0|0
1|1|8|0|1|4|5|0|0|2|0|0|0.5|0|0|9|0|7|0
7|1|10|3|2|6|2|0|1|7|0|0|0|0|0|0|0|9|0
12|1|0|0|0|0|10|2|1|0|0|0|1|0|0|0|0|1|0
-|1|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0
